english,translation,frequency_rank,pos,example,is_phrasal
Take a chill pill,расслабься; остынь (разг.),30085,idiom,,false
Let's light this candle!,поехали; за дело! (разг.),30086,idiom,,false
Bear in mind,имей в виду; учти,30087,idiom,,false
a healthy dose of XXX,изрядная доля чего-то,30088,idiom,,false
"Crush, smash, squash","раздавить, размазать, расплющить",30089,verb,,false
a clean sheet,чистый лист; ворота на замке (без пропущенных голов),30090,idiom,,false
to DRIFT AWAY/OFF,задремать; погрузиться в сон; уплывать мыслями,30091,phrasal,,true
That's a stretch,это притянуто за уши; преувеличение,30092,idiom,,false
Fall on deaf ears,остаться без внимания; быть неуслышанным,30093,idiom,,false
get by,перебиваться; сводить концы с концами,30094,phrasal,,true
hog heaven,райское наслаждение; на седьмом небе,30095,idiom,,false
to turn a blind eye to SMT/SMO,закрывать глаза на что-то/кого-то,30096,idiom,,false
clean-cut,опрятный; аккуратный (о внешности),30097,adj,,false
Make a few extra BUCKS,подзаработать деньжат,30098,idiom,,false
tangy,терпкий; с кислинкой,30099,adj,,false
fizzled,сошёл на нет; выдохся; провалился,30100,verb,,false
Take it easy!,не напрягайся; полегче! (разг.),30101,interjection,,false
is all talk,одни разговоры; только болтает,30102,idiom,,false
You don't say,да ну; неужели; вот это да,30103,interjection,,false
Me three!,и я туда же; я тоже (шутл.),30104,interjection,,false
the usage of DUDE,употребление слова «чувак»,30105,phrase,,false
Let's blow this Popsicle stand!,валим отсюда; сматываемся (разг.),30106,idiom,,false
social currency,социальный капитал; вес в обществе,30107,noun,,false
to PUT the SQUEEZE ON someone,надавить на кого-то; прижать,30108,idiom,,false
in and of itself/themselves,сам(и) по себе; как таковой,30109,idiom,,false
from Timbuktu to Kalamazoo,отовсюду; со всех концов света,30110,idiom,,false
"potayto, potahto","одно и то же; что в лоб, что по лбу",30111,idiom,,false
my guilty pleasure,тайная слабость; постыдное удовольствие,30112,idiom,,false
noobs,новички; чайники (сленг),30113,noun,,false
She'll come around,она ещё передумает; одумается,30114,idiom,,false
not a spring chicken,уже не молод; не первой свежести,30115,idiom,,false
Not up to scratch,не на высоте; не дотягивает,30116,idiom,,false
to BE GONE,исчезнуть; пропасть; убираться,30117,idiom,,false
Talked my ear off,заговорил меня до полусмерти,30118,idiom,,false
Guns are Gone,оружия больше нет,30119,phrase,,false
my bad,моя вина; виноват (разг.),30120,idiom,,false
going full Monty,раздеться догола; пойти ва-банк,30121,idiom,,false
to Take In,вникать; осматривать; приютить; ушить (одежду),30122,phrasal,,true
to BITE the BULLET,стиснуть зубы; собраться с духом,30123,idiom,,false
on top of that,вдобавок; к тому же,30124,idiom,,false
going commando,без нижнего белья,30125,idiom,,false
Nothing to sneeze at,не пустяк; не стоит пренебрегать,30126,idiom,,false
catch my drift,"уловить мою мысль; понять, к чему я клоню",30127,idiom,,false
Way to go!,молодец; так держать!,30128,interjection,,false
by the book,по правилам; строго по инструкции,30129,idiom,,false
ivory tower,башня из слоновой кости; оторванность от жизни,30130,idiom,,false
bootstrapper,"тот, кто всего добился сам",30131,noun,,false
doohickey,штуковина; хреновина (разг.),30132,noun,,false
out in the bush,в глуши; в захолустье,30133,idiom,,false
"""A"" is a household name",имя «А» у всех на слуху,30134,idiom,,false
Americana,американа; типично американское,30135,noun,,false
stamp/stomp on VS step on,топтать против наступить,30136,phrase,,false
to be bush league,дилетантский; любительский (пренебр.),30137,idiom,,false
brownie points,очки за старание; зарабатывать одобрение,30138,idiom,,false
nasty,мерзкий; противный; гадкий,30139,adj,,false
all your ducks in a row,всё разложено по полочкам; всё в порядке,30140,idiom,,false
hindsight is 20/20,задним умом все крепки,30141,idiom,,false
to stomp on/to stamp on,топтать; затаптывать,30142,phrasal,,true
up to speed,в курсе дела; на одной волне,30143,idiom,,false
a cakewalk,пара пустяков; раз плюнуть,30144,idiom,,false
That ship has sailed,этот поезд ушёл; момент упущен,30145,idiom,,false
to BE in LEFT FIELD and OUT in LEFT FIELD,быть не в теме; нести околесицу,30146,idiom,,false
to throw a softball question,задать лёгкий вопрос; подыграть,30147,idiom,,false
shook me to my core,потрясло до глубины души,30148,idiom,,false
apathy,апатия; безразличие,30149,noun,,false
kicked my behind,надрал мне зад; задал жару (разг.),30150,idiom,,false
to be over SMO/SMT,разлюбить; забыть кого-то/что-то; пережить,30151,idiom,,false
I second that,поддерживаю; присоединяюсь,30152,idiom,,false
gave up the ghost,испустил дух; приказал долго жить,30153,idiom,,false
the nuance,нюанс; тонкость,30154,noun,,false
to put something into perspective,взглянуть на что-то трезво; расставить по местам,30155,idiom,,false
Do not pass GO. Do not collect $200.,без поблажек; никаких уступок,30156,idiom,,false
There needs to be,"должно быть; необходимо, чтобы",30157,phrase,,false
mind you,заметь; учти; имей в виду,30158,idiom,,false
to pay top dollar,платить втридорога; выкладывать кругленькую сумму,30159,idiom,,false
Thanks for the heads up,"спасибо, что предупредил",30160,idiom,,false
to trudge through,брести с трудом; продираться,30161,phrasal,,true
a sad state of affairs,печальное положение дел,30162,idiom,,false
to cozy up to SMO,подлизываться к кому-то; втираться в доверие,30163,phrasal,,true
to riff,"импровизировать (муз., разг.)",30164,verb,,false
a modicum of decorum,капля приличия; толика приличий,30165,idiom,,false
to get caught up,нагнать; наверстать; подтянуть,30166,phrasal,,true
to be behind,отставать; не успевать,30167,idiom,,false
shrouded in mystery,окутанный тайной,30168,idiom,,false
That's the breaks…That's the way the cookie crumbles,такая уж судьба; так уж сложилось,30169,idiom,,false
"to dote on ~ (dote, daughter, Dawn, Don, Donna)",души не чаять; обожать,30170,phrasal,,true
get rid of it,избавиться от этого; выбросить,30171,idiom,,false
you bet (TWO usages!),конечно; ещё бы; не за что (разг.),30172,idiom,,false
take a long walk off a short pier,иди куда подальше; катись (груб.),30173,idiom,,false
a guy thing,мужское дело; чисто мужское,30174,idiom,,false
to level up,выйти на новый уровень; прокачаться,30175,phrasal,,true
a 2fer,два по цене одного; два в одном (разг.),30176,noun,,false
undies in a bundle/bunch,нервничать по пустякам; кипятиться,30177,idiom,,false
my claim to fame,мой звёздный час; чем я знаменит,30178,idiom,,false
lo and behold,"и вот, представьте себе; глядь",30179,idiom,,false
"odd, odd number, oddball",странный; нечётный; чудак,30180,adj,,false
my brain's fried!,мозг кипит; голова не варит (разг.),30181,idiom,,false
live it up,оторваться по полной; гулять так гулять,30182,phrasal,,true
I suppose…,пожалуй; полагаю; наверное,30183,phrase,,false
put some hair on your chest,для храбрости; чтоб мужиком стал (шутл.),30184,idiom,,false
The early bird~ and The second mouse,кто рано встаёт; а второй мыши достаётся сыр,30185,idiom,,false
to DO someone,обмануть; кинуть; обслужить (разг.),30186,verb,,false
You can lead a horse to water…,"можно привести коня к воде, но не заставить пить",30187,idiom,,false
bassackwards,задом наперёд; шиворот-навыворот (разг.),30188,adv,,false
"could have, should have, would have","мог бы, должен был, сделал бы (сожаления)",30189,phrase,,false
clean as a whistle,без сучка без задоринки; кристально чистый,30190,idiom,,false
She is high maintenance,"с ней много хлопот; капризная, требовательная",30191,idiom,,false
a charley horse,судорога в мышце; сведённая мышца,30192,noun,,false
sleep on it,обдумать на свежую голову; отложить решение,30193,idiom,,false
"primal, primed, prime, primary","первобытный, готовый, главный, основной",30194,adj,,false
film making VS making film,кинопроизводство против съёмки фильма,30195,phrase,,false
to come clean,признаться; выложить всю правду,30196,idiom,,false
to hang it up,завязать; уйти на покой; бросить (дело),30197,idiom,,false
nailed it/killed it,справился блестяще; сделал на отлично,30198,idiom,,false
an ax to grind,затаённая обида; личные счёты,30199,idiom,,false
dip your toe in the water,попробовать осторожно; прощупать почву,30200,idiom,,false
"drivel, hogwash, BS, empty words",чушь; вздор; пустая болтовня,30201,noun,,false
It ain't over 'til it's over!,ещё не вечер!; рано хоронить!,30202,idiom,,false
fat chance…slim chance,как же; держи карман шире; ничтожный шанс,30203,idiom,,false
wasting away (to nothing),чахнуть; таять на глазах,30204,idiom,,false
FOMO,страх упустить интересное (ФОМО),30205,noun,,false
a tab,счёт (в баре),30206,noun,,false
a bad feeling,дурное предчувствие,30207,noun,,false
diddly-squat,ни шиша; ничегошеньки (разг.),30208,noun,,false
meant to be,так суждено; на роду написано,30209,idiom,,false
esque,-образный; в стиле (суффикс),30210,adj,,false
talk trash/smack,поносить; обливать грязью; задирать,30211,idiom,,false
wear out - 2 usages!,изнашивать(ся); изматывать,30212,phrasal,,true
head in the sand,прятать голову в песок,30213,idiom,,false
never felt,никогда такого не чувствовал,30214,phrase,,false
beside myself,вне себя (от эмоций),30215,idiom,,false
take one for the team,взять удар на себя ради команды,30216,idiom,,false
across the board,по всем направлениям; повсеместно,30217,idiom,,false
the Midas touch,золотые руки; дар наживать деньги,30218,idiom,,false
no rest for the wicked,нет покоя грешным; ни минуты покоя,30219,idiom,,false
move up,продвигаться вверх; повышаться,30220,phrasal,,true
all the rage,последний писк; на пике популярности,30221,idiom,,false
the mother lode,золотая жила,30222,idiom,,false
fly off the handle,сорваться; выйти из себя,30223,idiom,,false
to fill SOMEBODY in,ввести кого-то в курс дела,30224,phrasal,,true
handicapable VS handicapped,с особыми возможностями (эвф.) против инвалид,30225,adj,,false
do the math,прикинуть; сделать выводы,30226,idiom,,false
crocodile tears,крокодиловы слёзы,30227,idiom,,false
to CEMENT,закрепить; упрочить,30228,verb,,false
so much for,вот тебе и; на этом всё (об ожиданиях),30229,idiom,,false
a bang-up job,отличная работа; на ура,30230,idiom,,false
try selling them on,убеждать их; впаривать им,30231,idiom,,false
a red letter day,знаменательный день; красный день календаря,30232,idiom,,false
for one,например; со своей стороны,30233,idiom,,false
to RANT,разглагольствовать; гневно тирадить,30234,verb,,false
to TAP INTO something,задействовать; черпать из чего-то,30235,idiom,,false
You'll walk away with ...,вы унесёте с собой...,30236,phrase,,false
Ivy League,Лига плюща (элитные вузы),30237,noun,,false
to plug away,упорно трудиться; корпеть,30238,phrasal,,true
floored,ошарашенный; огорошенный,30239,adj,,false
WET behind the EARS,молоко на губах не обсохло; зелёный,30240,idiom,,false
to be loaded,быть при деньгах; быть в стельку (сленг),30241,idiom,,false
a close call,опасная ситуация; на волоске,30242,idiom,,false
to do someone's bidding,выполнять чьи-то прихоти; быть на побегушках,30243,idiom,,false
like it's candy,как семечки; будто конфетки,30244,idiom,,false
Leap Day,29 февраля (високосный день),30245,noun,,false
a complete wash-out,полный провал; коту под хвост,30246,idiom,,false
a red-eye flight,ночной авиарейс (красноглазый),30247,noun,,false
"a Scrooge, a tightwad",скряга; жмот,30248,noun,,false
to be awash in,утопать в чём-то; быть заваленным,30249,idiom,,false
make or break,решающий; пан или пропал,30250,idiom,,false
out of whack,разлаженный; вкривь и вкось,30251,idiom,,false
clickbait,кликбейт (приманка для кликов),30252,noun,,false
the sweet spot,золотая середина; идеальная точка,30253,idiom,,false
smooth move,ловкий ход; молодец (часто иронично),30254,idiom,,false
a crackpot idea,бредовая идея; вздорная затея,30255,idiom,,false
a close shave,на волосок от беды; пронесло,30256,idiom,,false
shelling out,выкладывать кругленькую сумму; раскошеливаться,30257,phrasal,,true
urban sprawl,расползание городов; городская застройка,30258,noun,,false
actionable,пригодный к действию; практически применимый,30259,adj,,false
a hot-button issue,острый вопрос; больная тема,30260,idiom,,false
get a quote,получить расценку; запросить цену,30261,idiom,,false
flip-flop and waffle,метаться; вилять; идти на попятную,30262,idiom,,false
wishy-washy,неопределённый; ни рыба ни мясо,30263,adj,,false
fickle,непостоянный; переменчивый,30264,adj,,false
stick-to-itiveness,упорство; настойчивость,30265,noun,,false
TP,туалетная бумага (TP),30266,noun,,false
a homewrecker,разлучник(ца); разрушитель семьи,30267,noun,,false
music to my ears,бальзам на душу; ласкает слух,30268,idiom,,false
took its toll,сказалось; дало о себе знать; измотало,30269,idiom,,false
goosebumps,мурашки (по коже),30270,noun,,false
my beacon,мой маяк; путеводная звезда,30271,noun,,false
shot myself in the foot,сам себе навредил; выстрелил себе в ногу,30272,idiom,,false
up in the air,под вопросом; в подвешенном состоянии,30273,idiom,,false
make a pitch,предложить идею; зазывать; рекламировать,30274,idiom,,false
flab,дряблый жирок; обвисший жир,30275,noun,,false
my bread and butter,мой хлеб насущный; основной заработок,30276,idiom,,false
flabbergasted,ошеломлённый; огорошенный,30277,adj,,false
a light wallet,тощий кошелёк; безденежье,30278,idiom,,false
to butt dial SMO,случайно набрать кого-то в кармане,30279,phrasal,,true
a nightcap,рюмочка на ночь; стаканчик перед сном,30280,noun,,false
to trip SB out,ошарашить кого-то; вынести мозг (сленг),30281,phrasal,,true
take a crack at it,попробовать; рискнуть,30282,idiom,,false
a junkie,наркоман; фанатик чего-то,30283,noun,,false
take it at face value,принимать за чистую монету,30284,idiom,,false
duke it out,выяснять отношения; сразиться,30285,phrasal,,true
elbow grease,усердный труд; пот и усилия,30286,idiom,,false
brick and mortar,офлайновый; реальный (магазин),30287,idiom,,false
Did you send out ~ & ~ is a thing of the past,ты разослал ~ а ~ уже в прошлом,30288,phrase,,false
to be a slam-dunk,верное дело; беспроигрышный вариант,30289,idiom,,false
to take something by storm,завоевать с ходу; покорить штурмом,30290,idiom,,false
rustle up something,сообразить на скорую руку; раздобыть,30291,phrasal,,true
brush up on,освежить знания; подтянуть,30292,phrasal,,true
to mean well,иметь добрые намерения; желать добра,30293,idiom,,false
a snake oil,шарлатанское средство; разводилово,30294,noun,,false
to grill,допрашивать с пристрастием; устроить допрос,30295,verb,,false
What's the drill?,какой расклад?; в чём суть дела?,30296,idiom,,false
dying to DO SMT & die vs dye,до смерти хочется сделать; умирать от желания,30297,idiom,,false
know which side your bread is buttered on,"знать, с какой стороны хлеб маслом намазан",30298,idiom,,false
take the edge off,снять напряжение; немного успокоить,30299,idiom,,false
Let it go,отпусти; забей; смирись,30300,idiom,,false
razzle-dazzle,показуха; пускание пыли в глаза,30301,noun,,false
like a turkey voting for Thanksgiving,"рубить сук, на котором сидишь",30302,idiom,,false
The sky's the limit.,предела нет; всё в твоих руках,30303,idiom,,false
to clinch,заполучить; окончательно закрепить (сделку),30304,verb,,false
FULL NAME,полное имя,30305,noun,,false
swanky,шикарный; пафосный (разг.),30306,adj,,false
does a bear sh*t in the woods,а как же иначе; само собой (груб.),30307,idiom,,false
harder than you think,"сложнее, чем кажется",30308,phrase,,false
a stand-up guy,порядочный человек; надёжный парень,30309,idiom,,false
weed,травка; марихуана (сленг); сорняк,30310,noun,,false
"a dope, to be dope",классный; крутой (сленг); болван,30311,adj,,false
lulz …lol,ржака; лол (сленг),30312,interjection,,false
to pledge,дать обет; пожертвовать; поручиться,30313,verb,,false
to chomp on (into) something,грызть; жадно вгрызаться,30314,phrasal,,true
to be under the weather,приболеть; быть не в форме,30315,idiom,,false
to sweep someone off their feet,вскружить голову; покорить,30316,idiom,,false
to luck out,неожиданно повезти; подфартить,30317,phrasal,,true
give it a shot,попробовать; рискнуть,30318,idiom,,false
to take apart,разобрать (на части),30319,phrasal,,true
to take part,участвовать; принять участие,30320,idiom,,false
Big city nicknames,прозвища больших городов,30321,noun,,false
on the off chance,на всякий случай; вдруг,30322,idiom,,false
Lucky me,везёт же мне (часто иронично),30323,idiom,,false
to upstage somebody,затмить кого-то; переплюнуть,30324,verb,,false
the lesser of two evils,меньшее из двух зол,30325,idiom,,false
you would think,казалось бы; можно подумать,30326,idiom,,false
Viewer discretion is advised.,зрителям рекомендуется осторожность,30327,phrase,,false
like vs as,like против as (как),30328,phrase,,false
in broad daylight,средь бела дня,30329,idiom,,false
cockamamie,нелепый; вздорный; идиотский,30330,adj,,false
to get wind of something,прознать о чём-то; пронюхать,30331,idiom,,false
slip through the cracks,ускользнуть; провалиться сквозь щели,30332,idiom,,false
to come around,согласиться (в итоге); прийти в себя; заглянуть,30333,phrasal,,true
in the cards,суждено; на роду написано,30334,idiom,,false
I feel less and less so,всё меньше так чувствую,30335,phrase,,false
Copy that!,принято!; вас понял!,30336,interjection,,false
Up yours!,да пошёл ты! (груб.),30337,interjection,,false
way off the mark,мимо; в корне неверно,30338,idiom,,false
Good on you!,молодец!; так держать!,30339,interjection,,false
Them's fightin' words!,за такое и в морду можно!,30340,idiom,,false
Whatsoever,вообще; ни в малейшей степени,30341,adv,,false
to pigeonhole someone,навешивать ярлыки; загонять в рамки,30342,verb,,false
Tell me about it,и не говори; ещё бы,30343,idiom,,false
to pull the plug,прикрыть лавочку; положить конец,30344,idiom,,false
a live wire,энергичный человек; живчик; оголённый провод,30345,idiom,,false
back in my heyday,в дни моего расцвета,30346,idiom,,false
beneath contempt,ниже всякого презрения,30347,idiom,,false
a double whammy,двойной удар; двойная беда,30348,idiom,,false
is all but,почти что; едва ли не,30349,idiom,,false
is not all that,не такой уж и; так себе,30350,idiom,,false
the trade-off,компромисс; цена выбора,30351,noun,,false
He has got it bad,он по уши влюблён,30352,idiom,,false
to be underhanded,действовать исподтишка; нечестно,30353,adj,,false
to milk something,выжимать всё до капли; доить,30354,verb,,false
at your beck and call,на побегушках; по первому зову,30355,idiom,,false
WYSIWYG,"что видишь, то и получишь (WYSIWYG)",30356,idiom,,false
jumped me,напал на меня; накинулся,30357,verb,,false
Split the difference,сойтись на середине; разделить пополам,30358,idiom,,false
thingamajig,штуковина; как-его-там,30359,noun,,false
potluck,вскладчину; обед со своими блюдами,30360,noun,,false
demanding,требовательный; взыскательный,30361,adj,,false
don't get fresh with me,не дерзи мне; не наглей,30362,idiom,,false
to make up (for),компенсировать; наверстать; помириться,30363,phrasal,,true
to offset,компенсировать; уравновешивать,30364,verb,,false
to pull the wool over someone's eyes,пускать пыль в глаза; обводить вокруг пальца,30365,idiom,,false
gets me every time,каждый раз пробирает; всегда цепляет,30366,idiom,,false
sticks and stones may break my bones…,брань на вороту не виснет,30367,idiom,,false
haters gonna hate,завистники всегда найдутся,30368,idiom,,false
takes one to know one,"кто обзывается, тот сам так называется",30369,idiom,,false
to be wired,на взводе; перевозбуждённый,30370,idiom,,false
put a crimp in my plan,спутать мне планы; подпортить замысел,30371,idiom,,false
run of the mill,заурядный; обыкновенный,30372,idiom,,false
to pander,потакать; угождать (низменным вкусам),30373,verb,,false
to be pumped,на взводе; полный энтузиазма (сленг),30374,idiom,,false
Monday-morning quarterback,крепок задним умом; критик-всезнайка,30375,idiom,,false
a cowlick,вихор; непослушная прядь,30376,noun,,false
rooting for you,болею за тебя; поддерживаю,30377,idiom,,false
to make a stand,дать отпор; занять твёрдую позицию,30378,idiom,,false
beat SMO to it,опередить кого-то; успеть раньше,30379,idiom,,false
pirating...to pirate...pirated,пиратство; пиратить; пиратский,30380,verb,,false
bring in the big guns,пустить в ход тяжёлую артиллерию,30381,idiom,,false
tough as nails,твёрдый как кремень; стойкий,30382,idiom,,false
take up (time) VS take up (SMT),занимать (время) против поднимать (тему),30383,phrasal,,true
take up with VS take SMT up with SMO,связаться с кем-то против обсудить с кем-то,30384,phrasal,,true
Go big or go home,"либо пан, либо пропал; ва-банк",30385,idiom,,false
the proof is in the pudding,всё проверяется на деле,30386,idiom,,false
I'm sitting on it,я пока придерживаю это; сижу на этом,30387,idiom,,false
You know what they say,как говорится; знаешь поговорку,30388,idiom,,false
Can't make head nor tail,ничего не разобрать; ни складу ни ладу,30389,idiom,,false
to sweep something under the rug,замять; спрятать концы в воду,30390,idiom,,false
the powers that be,власти предержащие; начальство (разг.),30391,idiom,,false
"sort as a VERB, NOUN and ADV","сортировать; вид, сорт; вроде, как бы (разг.)",30392,verb,,false
"beach, sheet and fork (pronunciation warning~)",пляж; простыня; вилка,30393,noun,,false
"through as an ADV, PREP and ADJ","сквозь, через; насквозь; готовый, законченный",30394,adv,,false
"Aw, shucks","да ну, ладно тебе (смущённо)",30395,interjection,,false
Golly!,ну надо же!; вот это да! (устар. разг.),30396,interjection,,false
see a man about a horse,отлучиться по нужде (эвф.),30397,idiom,,false
highbrow,интеллектуал; высоколобый (об искусстве),30398,adj,,false
corporate material,подходящий для корпоративной работы,30399,idiom,,false
for the lowest common denominator,в расчёте на самый низкий уровень,30400,idiom,,false
raise the roof,поднять шум; бурно веселиться,30401,idiom,,false
You know your ~Greeks~!,ты разбираешься в греках!,30402,phrase,,false
more than one way to skin a cat,есть много способов добиться своего,30403,idiom,,false
to have a chip on your shoulder,быть обидчивым; держать обиду,30404,idiom,,false
painstaking,кропотливый; тщательный,30405,adj,,false
take it in stride,воспринимать спокойно; принимать как должное,30406,idiom,,false
Murphy's Law,закон подлости; закон Мерфи,30407,idiom,,false
to get owned (pwn/pwnd),быть разгромленным; опозориться (сленг),30408,idiom,,false
a big plus,большой плюс; явное преимущество,30409,idiom,,false
to have no call to,не иметь повода (что-то делать),30410,idiom,,false
a cinch,пустяк; раз плюнуть (разг.),30411,noun,,false
dead on,в точку; точно,30412,adj,,false
a dad bod,папин животик; обмякшее тело (разг.),30413,noun,,false
to dish out,раздавать; отпускать (колкости),30414,phrasal,,true
take the high road,поступить благородно; не опускаться до склок,30415,idiom,,false
crabby,раздражительный; ворчливый,30416,adj,,false
Chance for/Chance to/Chance of,шанс на/возможность/вероятность,30417,noun,,false
my BFAM or my SFAM,мой названый брат/сестра (сленг),30418,noun,,false
to have blinders on,зашоренность; видеть только своё,30419,idiom,,false
touch base,связаться; сверить планы,30420,idiom,,false
to lose touch with OR lose contact with,потерять связь с кем-то,30421,idiom,,false
RSVP (as a verb!),ответить на приглашение (о присутствии),30422,verb,,false
have at it,"давай, валяй; принимайся за дело",30423,idiom,,false
to horse around,дурачиться; беситься (разг.),30424,phrasal,,true
jealousy vs envy,ревность против зависти,30425,noun,,false
no-nonsense,деловой; без церемоний,30426,adj,,false
What do you got? (X3),что у тебя есть?; что скажешь?,30427,phrase,,false
Rats!,чёрт!; вот досада! (разг.),30428,interjection,,false
no traffic/tons of traffic,без пробок/жуткие пробки,30429,noun,,false
to rattle someone,выбить из колеи; нервировать,30430,verb,,false
It don't mean jack,это ничего не значит; пофиг (разг.),30431,idiom,,false
"bald bald, good good","совсем лысый, очень хороший (усиление повтором)",30432,phrase,,false
24/7 (INTONATION!),круглосуточно; без передышки,30433,idiom,,false
the silver bullet,панацея; волшебное решение,30434,idiom,,false
chronic pain,хроническая боль,30435,noun,,false
say something out in the open,сказать открыто; высказать прямо,30436,idiom,,false
to put the kibosh on something,положить конец чему-то; прикрыть,30437,idiom,,false
alls I need is…,"всё, что мне нужно… (разг.)",30438,phrase,,false
sheer,"сущий, полнейший; отвесный",30439,adj,,false
pesky,надоедливый; докучливый,30440,adj,,false
to spruce up,привести в порядок; приукрасить,30441,phrasal,,true
on so many levels,во многих отношениях,30442,idiom,,false
